"";"IDCNTRY";"Variable";"HOMELIT";"HISCED";"HOMELIT.se";"HISCED.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"63";"Russian Federation";"HOMELIT";1;0,285451530828186;0;0,0196039361166251;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"64";"Russian Federation";"HISCED";0,285451530828186;1;0,0196039361166251;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"65";"Slovak Republic";"HOMELIT";1;0,345382134892058;0;0,024060308908269;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"66";"Slovak Republic";"HISCED";0,345382134892058;1;0,024060308908269;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"67";"Slovenia";"HOMELIT";1;0,302119208272368;0;0,0225936798770461;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"68";"Slovenia";"HISCED";0,302119208272368;1;0,0225936798770461;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"69";"Spain";"HOMELIT";1;0,409446596195898;0;0,0178659314126164;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"70";"Spain";"HISCED";0,409446596195898;1;0,0178659314126164;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"71";"Sweden";"HOMELIT";1;0,277244869049832;0;0,0174087556696357;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"72";"Sweden";"HISCED";0,277244869049832;1;0,0174087556696357;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"73";"Switzerland";"HOMELIT";1;0,407115994556745;0;0,0222781453422723;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"74";"Switzerland";"HISCED";0,407115994556745;1;0,0222781453422723;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"75";"Thailand";"HOMELIT";1;0,291831609460237;0;0,0191257844589751;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"76";"Thailand";"HISCED";0,291831609460237;1;0,0191257844589751;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"77";"Table Average";"HOMELIT";1;0,336854553187435;0;0,00343902692985035;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"78";"Table Average";"HISCED";0,336854553187435;1;0,00343902692985035;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
