"";"IDCNTRY";"Variable";"ASDAGE";"ASMMAT0_";"ASDAGE.se";"ASMMAT0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"15";"England";"ASDAGE";1;0,105353082080063;0;0,0243938048531169;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"16";"England";"ASMMAT0_";0,105353082080063;1;0,0243938048531169;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"17";"Hong Kong, SAR";"ASDAGE";1;-0,0592209824229423;0;0,0229782641813894;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"18";"Hong Kong, SAR";"ASMMAT0_";-0,0592209824229423;1;0,0229782641813894;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"19";"Hungary";"ASDAGE";1;-0,203631347799953;0;0,0311148838130107;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"20";"Hungary";"ASMMAT0_";-0,203631347799953;1;0,0311148838130107;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"21";"Iran, Islamic Republic of";"ASDAGE";1;-0,234276329404027;0;0,0212277843179244;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"22";"Iran, Islamic Republic of";"ASMMAT0_";-0,234276329404027;1;0,0212277843179244;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"23";"Italy";"ASDAGE";1;0,012999078810561;0;0,0195041850699013;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"24";"Italy";"ASMMAT0_";0,012999078810561;1;0,0195041850699013;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"25";"Japan";"ASDAGE";1;0,0468554728033744;0;0,0201967472699224;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"26";"Japan";"ASMMAT0_";0,0468554728033744;1;0,0201967472699224;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"27";"Latvia";"ASDAGE";1;-0,141011358324255;0;0,0304594321370839;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"28";"Latvia";"ASMMAT0_";-0,141011358324255;1;0,0304594321370839;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"29";"Lithuania";"ASDAGE";1;-0,0957595624447072;0;0,0224492107547425;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"30";"Lithuania";"ASMMAT0_";-0,0957595624447072;1;0,0224492107547425;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"31";"Moldova";"ASDAGE";1;0,0266164736573618;0;0,0236314981537897;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"32";"Moldova";"ASMMAT0_";0,0266164736573618;1;0,0236314981537897;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"33";"Morocco";"ASDAGE";1;-0,161529464599998;0;0,0256060652821716;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"34";"Morocco";"ASMMAT0_";-0,161529464599998;1;0,0256060652821716;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"35";"Netherlands";"ASDAGE";1;-0,294688980133551;0;0,0262125580685158;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"36";"Netherlands";"ASMMAT0_";-0,294688980133551;1;0,0262125580685158;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"37";"New Zealand";"ASDAGE";1;0,0632059072164379;0;0,0226902837897943;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"38";"New Zealand";"ASMMAT0_";0,0632059072164379;1;0,0226902837897943;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"39";"Norway";"ASDAGE";1;0,0820693100410634;0;0,0153019921910677;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"40";"Norway";"ASMMAT0_";0,0820693100410634;1;0,0153019921910677;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"41";"Philippines";"ASDAGE";1;-0,120601068664332;0;0,0222867347008061;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"42";"Philippines";"ASMMAT0_";-0,120601068664332;1;0,0222867347008061;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"43";"Russian Federation";"ASDAGE";1;-0,14856284779498;0;0,0419705269175895;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"44";"Russian Federation";"ASMMAT0_";-0,14856284779498;1;0,0419705269175895;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"45";"Scotland";"ASDAGE";1;0,0273097250287062;0;0,0214966786661883;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"46";"Scotland";"ASMMAT0_";0,0273097250287062;1;0,0214966786661883;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"47";"Singapore";"ASDAGE";1;0,0542829011664199;0;0,0136518820386887;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"48";"Singapore";"ASMMAT0_";0,0542829011664199;1;0,0136518820386887;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"49";"Slovenia";"ASDAGE";1;-0,0587114738196455;0;0,0226145081149144;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"50";"Slovenia";"ASMMAT0_";-0,0587114738196455;1;0,0226145081149144;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"51";"Tunisia";"ASDAGE";1;-0,305306065953918;0;0,0192836067114208;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"52";"Tunisia";"ASMMAT0_";-0,305306065953918;1;0,0192836067114208;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"53";"United States";"ASDAGE";1;-0,0964605548237499;0;0,017445402615109;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"54";"United States";"ASMMAT0_";-0,0964605548237499;1;0,017445402615109;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"55";"United States (Indiana)";"ASDAGE";1;-0,150905947996469;0;0,0230135873446396;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"56";"United States (Indiana)";"ASMMAT0_";-0,150905947996469;1;0,0230135873446396;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"57";"Yemen";"ASDAGE";1;-0,0332295666448329;0;0,0386575706506761;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"58";"Yemen";"ASMMAT0_";-0,0332295666448329;1;0,0386575706506761;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"59";"Table Average";"ASDAGE";1;-0,0731499409121926;0;0,00459033893481435;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"60";"Table Average";"ASMMAT0_";-0,0731499409121926;1;0,00459033893481435;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
