"";"IDCNTRY";"Variable";"ASDGAGE";"ASRREA0_";"ASDGAGE.se";"ASRREA0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"11";"Colombia";"ASDGAGE";1;-0,229710154736853;0;0,0348056915173079;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"12";"Colombia";"ASRREA0_";-0,229710154736853;1;0,0348056915173079;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"13";"Cyprus";"ASDGAGE";1;0,00342328360208198;0;0,0206986667481025;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"14";"Cyprus";"ASRREA0_";0,00342328360208198;1;0,0206986667481025;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"15";"Czech Republic";"ASDGAGE";1;-0,0910837038498949;0;0,0213153639175282;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"16";"Czech Republic";"ASRREA0_";-0,0910837038498949;1;0,0213153639175282;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"17";"England";"ASDGAGE";1;0,0997602851566701;0;0,0213967536392377;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"18";"England";"ASRREA0_";0,0997602851566701;1;0,0213967536392377;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"19";"France";"ASDGAGE";1;-0,295047373505922;0;0,0209456445701507;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"20";"France";"ASRREA0_";-0,295047373505922;1;0,0209456445701507;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"21";"Germany";"ASDGAGE";1;-0,239101101481457;0;0,0161932826757246;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"22";"Germany";"ASRREA0_";-0,239101101481457;1;0,0161932826757246;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"23";"Greece";"ASDGAGE";1;-0,0428097318950935;0;0,0330691505839697;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"24";"Greece";"ASRREA0_";-0,0428097318950935;1;0,0330691505839697;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"25";"Hong Kong, SAR";"ASDGAGE";1;0,0116117239995609;0;0,0279118286543386;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"26";"Hong Kong, SAR";"ASRREA0_";0,0116117239995609;1;0,0279118286543386;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"27";"Hungary";"ASDGAGE";1;-0,25508840895259;0;0,0252797249600952;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"28";"Hungary";"ASRREA0_";-0,25508840895259;1;0,0252797249600952;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"29";"Iceland";"ASDGAGE";1;0,0842337677306249;0;0,0235448447243508;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"30";"Iceland";"ASRREA0_";0,0842337677306249;1;0,0235448447243508;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"31";"Iran, Islamic Republic of";"ASDGAGE";1;-0,339855959162766;0;0,018501016753646;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"32";"Iran, Islamic Republic of";"ASRREA0_";-0,339855959162766;1;0,018501016753646;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"33";"Israel";"ASDGAGE";1;0,0234764182702309;0;0,017962972771315;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"34";"Israel";"ASRREA0_";0,0234764182702309;1;0,017962972771315;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"35";"Italy";"ASDGAGE";1;0,0258026154213175;0;0,0218375881820388;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"36";"Italy";"ASRREA0_";0,0258026154213175;1;0,0218375881820388;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"37";"Kuwait";"ASDGAGE";1;-0,146611800614641;0;0,0163688001155328;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"38";"Kuwait";"ASRREA0_";-0,146611800614641;1;0,0163688001155328;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"39";"Latvia";"ASDGAGE";1;-0,147281502682129;0;0,0232459485761869;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"40";"Latvia";"ASRREA0_";-0,147281502682129;1;0,0232459485761869;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"41";"Lithuania";"ASDGAGE";1;-0,114120046603595;0;0,0318195997881984;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"42";"Lithuania";"ASRREA0_";-0,114120046603595;1;0,0318195997881984;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"43";"Moldova";"ASDGAGE";1;-0,0805096252194015;0;0,03361873479687;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"44";"Moldova";"ASRREA0_";-0,0805096252194015;1;0,03361873479687;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"45";"Morocco";"ASDGAGE";1;-0,123669262157357;0;0,0343991812756969;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"46";"Morocco";"ASRREA0_";-0,123669262157357;1;0,0343991812756969;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"47";"Netherlands";"ASDGAGE";1;-0,152272799087637;0;0,0229159886861426;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"48";"Netherlands";"ASRREA0_";-0,152272799087637;1;0,0229159886861426;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"49";"New Zealand";"ASDGAGE";1;0,015914975506094;0;0,0296943663143896;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"50";"New Zealand";"ASRREA0_";0,015914975506094;1;0,0296943663143896;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"51";"North Macedonia";"ASDGAGE";1;-0,0447857656071681;0;0,0262951989781058;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"52";"North Macedonia";"ASRREA0_";-0,0447857656071681;1;0,0262951989781058;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"53";"Norway";"ASDGAGE";1;0,106733149907569;0;0,0209872057415566;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"54";"Norway";"ASRREA0_";0,106733149907569;1;0,0209872057415566;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"55";"Romania";"ASDGAGE";1;-0,120415283351902;0;0,0348427221958088;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"56";"Romania";"ASRREA0_";-0,120415283351902;1;0,0348427221958088;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"57";"Russian Federation";"ASDGAGE";1;-0,0886852549386514;0;0,0343543995277366;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"58";"Russian Federation";"ASRREA0_";-0,0886852549386514;1;0,0343543995277366;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"59";"Scotland";"ASDGAGE";1;0,0418206726346217;0;0,0231962076391923;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"60";"Scotland";"ASRREA0_";0,0418206726346217;1;0,0231962076391923;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"61";"Singapore";"ASDGAGE";1;0,0420922211200529;0;0,0149602525295053;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"62";"Singapore";"ASRREA0_";0,0420922211200529;1;0,0149602525295053;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"63";"Slovak Republic";"ASDGAGE";1;-0,18642989890773;0;0,0343065241586116;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"64";"Slovak Republic";"ASRREA0_";-0,18642989890773;1;0,0343065241586116;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"65";"Slovenia";"ASDGAGE";1;-0,0653315196090754;0;0,0240199446569028;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"66";"Slovenia";"ASRREA0_";-0,0653315196090754;1;0,0240199446569028;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"67";"Sweden";"ASDGAGE";1;-0,00481020470849129;0;0,0170537674655381;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"68";"Sweden";"ASRREA0_";-0,00481020470849129;1;0,0170537674655381;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"69";"Sweden (Grade 3)";"ASDGAGE";1;0,0107459430823972;0;0,0167626831755426;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"70";"Sweden (Grade 3)";"ASRREA0_";0,0107459430823972;1;0,0167626831755426;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"71";"Turkey";"ASDGAGE";1;-0,109903041971556;0;0,0177831014120212;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"72";"Turkey";"ASRREA0_";-0,109903041971556;1;0,0177831014120212;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"73";"United States";"ASDGAGE";1;-0,0603052687210511;0;0,0236640528573894;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"74";"United States";"ASRREA0_";-0,0603052687210511;1;0,0236640528573894;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"75";"Table Average";"ASDGAGE";1;-0,0835574304113068;0;0,00430889139135605;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"76";"Table Average";"ASRREA0_";-0,0835574304113068;1;0,00430889139135605;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
