"";"IDCNTRY";"Variable";"Mean";"stdev";"TOTWGT";"NObs";"TOTWGT.se";"mean.se";"stdev.se";"xvar";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"11";"Chinese Taipei";"ASBGBOOK";2,88429894392674;1,28239182770067;308360,561563697;4615;4362,81874887368;0,0352557132614021;0,010491226369294;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"12";"Chinese Taipei";"ASDMSCL";1,78903895838047;0,750152856433622;308360,561563697;4615;4362,81874887368;0,0127112879229201;0,00593434436715428;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"13";"Cyprus";"ASBGBOOK";2,83228065965485;1,09154427429749;9423,59014576529;4108;202,30238033703;0,0309672176772539;0,01438495984267;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"14";"Cyprus";"ASDMSCL";1,33548729844294;0,570343152809231;9423,59014576529;4108;202,30238033703;0,0114786613877144;0,0089327055274324;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"15";"England";"ASBGBOOK";3,24001746039346;1,18921537489793;566002,209604465;3427;15081,3684584021;0,0466157545757924;0,0186123066353081;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"16";"England";"ASDMSCL";1,51200932959907;0,679167458957352;566002,209604465;3427;15081,3684584021;0,0150449952831991;0,00859142014142878;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"17";"Hong Kong, SAR";"ASBGBOOK";2,43219088740658;1,16795826797867;77929,9915162592;4542;2250,73848642502;0,0429877082847733;0,0157439073166066;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"18";"Hong Kong, SAR";"ASDMSCL";1,78766042086334;0,734822152524968;77929,9915162592;4542;2250,73848642502;0,0171352248800249;0,00613046920239629;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"19";"Hungary";"ASBGBOOK";3,15397701309037;1,19059195224482;95526,3276660932;3119;2146,8994078809;0,0399067261396374;0,0134468689361424;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"20";"Hungary";"ASDMSCL";1,44438218686749;0,658229185931406;95526,3276660932;3119;2146,8994078809;0,0115927499672963;0,00829209369083953;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"21";"Iran, Islamic Republic of";"ASBGBOOK";1,83018649983271;1,14009619989395;1189144,18584102;3918;42354,8156153147;0,046740342170055;0,0295121158906907;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"22";"Iran, Islamic Republic of";"ASDMSCL";1,6381614609605;0,606699872863797;1189144,18584102;3918;42354,8156153147;0,0172123498259731;0,00859026039688691;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"23";"Italy";"ASBGBOOK";2,6247190268575;1,20029910632392;492665,454027774;4095;6133,67413567487;0,0319348554799166;0,0177605710765887;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"24";"Italy";"ASDMSCL";1,47635659170114;0,660936073910738;492665,454027774;4095;6133,67413567487;0,0144418103031716;0,00854863230549478;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"25";"Japan";"ASBGBOOK";2,77049501687749;1,05524055459319;1151574,25848222;4454;7239,85319159254;0,0232886690950478;0,0131703753493023;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"26";"Japan";"ASDMSCL";1,82188621224231;0,753724769068143;1151574,25848222;4454;7239,85319159254;0,0148566948457339;0,00628712519216598;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"27";"Latvia";"ASBGBOOK";3,25873885451901;1,11357330521374;28211,915486963;3536;689,869550936385;0,033521245486283;0,0166404308679877;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"28";"Latvia";"ASDMSCL";1,65830847198478;0,74240565411441;28211,915486963;3536;689,869550936385;0,0166400654236142;0,00779169916790457;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"29";"Lithuania";"ASBGBOOK";2,68235003585429;1,06646265676403;40688,0467695336;4066;1323,98267016352;0,0361055018071553;0,0142375269776691;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"30";"Lithuania";"ASDMSCL";1,46194022977046;0,638131451775509;40688,0467695336;4066;1323,98267016352;0,0167047948042737;0,0108208040980253;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"31";"Moldova";"ASBGBOOK";2,30304959341591;1,16169666937885;52977,7271178046;3737;1406,81748145081;0,0367606514636188;0,0209175309424192;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"32";"Moldova";"ASDMSCL";1,54791692064519;0,63198404223788;52977,7271178046;3737;1406,81748145081;0,0197509668403452;0,0103928616138078;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"33";"Morocco";"ASBGBOOK";1,58989507544022;0,889186402736747;405228,312347013;2607;18928,6861514458;0,0342243099547789;0,0255997937696613;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"34";"Morocco";"ASDMSCL";1,5186263667127;0,602817436968004;405228,312347013;2607;18928,6861514458;0,0238125279549823;0,0103958920314346;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"35";"Netherlands";"ASBGBOOK";3,08477021672393;1,14426874101642;161014,683839508;2767;4544,70575282337;0,0420343042403723;0,0176243490435597;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"36";"Netherlands";"ASDMSCL";1,4429640517301;0,683038037820286;161014,683839508;2767;4544,70575282337;0,0136562123230853;0,00925281308969869;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"37";"New Zealand";"ASBGBOOK";3,20915198267918;1,1711079080988;56389,8646143055;4090;1551,59282286554;0,0287669119715744;0,0154439038387824;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"38";"New Zealand";"ASDMSCL";1,55164621235705;0,661218493789737;56389,8646143055;4090;1551,59282286554;0,014264638369995;0,00723306219027214;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"39";"Norway";"ASBGBOOK";3,24834549906635;1,13872864876499;56419,1567444937;4044;1402,9933446605;0,028578126883873;0,0120317579859578;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"40";"Norway";"ASDMSCL";1,43167761285976;0,636137827613039;56419,1567444937;4044;1402,9933446605;0,0127908405687878;0,0103384284639021;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"41";"Philippines";"ASBGBOOK";1,89613188399395;1,1065880689932;1648520,17121465;4178;66202,0531075608;0,0465807082050427;0,0268903153203121;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"42";"Philippines";"ASDMSCL";1,76849221442025;0,643157154041095;1648520,17121465;4178;66202,0531075608;0,0154881468399282;0,00728205863008984;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"43";"Russian Federation";"ASBGBOOK";2,92368492242722;1,14949557624026;1074423,33644968;3743;32656,3717050562;0,0388420882055622;0,0137115472508555;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"44";"Russian Federation";"ASDMSCL";1,62168432677292;0,736738132335304;1074423,33644968;3743;32656,3717050562;0,0191819117418484;0,00642896179141026;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"45";"Scotland";"ASBGBOOK";3,1919485977267;1,26118525312209;54510,3658658315;3815;1825,4700513032;0,043041508292496;0,0137135892817469;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"46";"Scotland";"ASDMSCL";1,46610427834969;0,677899309857278;54510,3658658315;3815;1825,4700513032;0,0100286328575242;0,00856431305575142;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"47";"Singapore";"ASBGBOOK";2,9459565370805;1,10859429839198;49203,8457257237;6554;397,211003957701;0,0379340051395783;0,0139589709792702;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"48";"Singapore";"ASDMSCL";1,66906634276919;0,734327544476569;49203,8457257237;6554;397,211003957701;0,0236359329462998;0,00764184701290127;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"49";"Slovenia";"ASBGBOOK";3,00204316117763;1,11352398604687;17631,1588463548;2932;500,748988161593;0,0323416479962846;0,0138286212410398;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"50";"Slovenia";"ASDMSCL";1,27540158811242;0,543281124187564;17631,1588463548;2932;500,748988161593;0,0118487815630879;0,0121007369838734;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"51";"Tunisia";"ASBGBOOK";2,04949824083833;1,1364642880479;153777,781203933;3090;5058,02534097238;0,0526408310820764;0,0268017907175635;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"52";"Tunisia";"ASDMSCL";1,50402898781611;0,622263026105771;153777,781203933;3090;5058,02534097238;0,0226035115195093;0,0112847606819205;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"53";"United States";"ASBGBOOK";3,00355217356245;1,21913499640987;3355734,65592796;9360;56497,2768660456;0,0304060045059159;0,00959848337765104;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"54";"United States";"ASDMSCL";1,46515081707249;0,684907528713005;3355734,65592796;9360;56497,2768660456;0,00987684163939691;0,00631617129740343;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"55";"United States (Indiana)";"ASBGBOOK";3,12211099460724;1,18449971652583;76083,3123629176;2113;2304,48426695642;0,0399538008413172;0,0181351601613995;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"56";"United States (Indiana)";"ASDMSCL";1,49499716301316;0,722720462535589;76083,3123629176;2113;2304,48426695642;0,0241767650896503;0,0139622446658105;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"57";"Yemen";"ASBGBOOK";1,87505098542164;1,14611465554697;252284,247175869;2427;10576,5325850682;0,0595505428341846;0,0389940754138295;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"58";"Yemen";"ASDMSCL";1,69403103662627;0,644315258437412;252284,247175869;2427;10576,5325850682;0,0218803062236713;0,0122079926547716;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"59";"Table Average";"ASBGBOOK";2,78097150607687;1,14364593854806;NA;NA;NA;0,00735872093692825;0,00351083183693888;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"60";"Table Average";"ASDMSCL";1,54562487103828;0,668104637160954;NA;NA;NA;0,00309184273353874;0,00175226455370457;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
