"";"IDCNTRY";"Variable";"ASSSCI0_";"ASMDAP0_";"ASSSCI0_.se";"ASMDAP0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"36";"Netherlands";"ASMDAP0_";0,449542221645021;1;0,0260433551877848;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"37";"New Zealand";"ASSSCI0_";1;0,667345736036745;0;0,0153331702819626;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"38";"New Zealand";"ASMDAP0_";0,667345736036745;1;0,0153331702819626;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"39";"Norway";"ASSSCI0_";1;0,606247131754283;0;0,0151971478098073;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"40";"Norway";"ASMDAP0_";0,606247131754283;1;0,0151971478098073;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"41";"Philippines";"ASSSCI0_";1;0,607763572218635;0;0,0376087002722212;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"42";"Philippines";"ASMDAP0_";0,607763572218635;1;0,0376087002722212;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"43";"Russian Federation";"ASSSCI0_";1;0,648872996022981;0;0,019521080309897;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"44";"Russian Federation";"ASMDAP0_";0,648872996022981;1;0,019521080309897;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"45";"Scotland";"ASSSCI0_";1;0,598886812321596;0;0,0163731868439046;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"46";"Scotland";"ASMDAP0_";0,598886812321596;1;0,0163731868439046;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"47";"Singapore";"ASSSCI0_";1;0,692406761625806;0;0,0199656280182801;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"48";"Singapore";"ASMDAP0_";0,692406761625806;1;0,0199656280182801;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"49";"Slovenia";"ASSSCI0_";1;0,60201600397648;0;0,0268750118417205;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"50";"Slovenia";"ASMDAP0_";0,60201600397648;1;0,0268750118417205;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"51";"Tunisia";"ASSSCI0_";1;0,519742635927331;0;0,0360251259246218;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"52";"Tunisia";"ASMDAP0_";0,519742635927331;1;0,0360251259246218;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"53";"United States";"ASSSCI0_";1;0,612452555527667;0;0,0104036070439324;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"54";"United States";"ASMDAP0_";0,612452555527667;1;0,0104036070439324;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"55";"United States (Indiana)";"ASSSCI0_";1;0,55478577242497;0;0,0249022753985439;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"56";"United States (Indiana)";"ASMDAP0_";0,55478577242497;1;0,0249022753985439;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"57";"Yemen";"ASSSCI0_";1;0,432644387607369;0;0,0301669070921153;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"58";"Yemen";"ASMDAP0_";0,432644387607369;1;0,0301669070921153;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"59";"Table Average";"ASSSCI0_";1;0,571055093951848;0;0,00421531185254963;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"60";"Table Average";"ASMDAP0_";0,571055093951848;1;0,00421531185254963;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
