"";"IDCNTRY";"Variable";"BSDGHER";"BSDGSLM";"BSDGHER.se";"BSDGSLM.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"11";"Chile";"BSDGHER";1;0,0254642128577729;0;0,0185878536991646;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"12";"Chile";"BSDGSLM";0,0254642128577729;1;0,0185878536991646;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"13";"Chinese Taipei";"BSDGHER";1;0,134596408673475;0;0,0124530785246759;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"14";"Chinese Taipei";"BSDGSLM";0,134596408673475;1;0,0124530785246759;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"15";"Cyprus";"BSDGHER";1;0,128131970429425;0;0,0157791871993069;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"16";"Cyprus";"BSDGSLM";0,128131970429425;1;0,0157791871993069;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"17";"Czech Republic";"BSDGHER";1;0,0807698282108217;0;0,0152865655954567;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"18";"Czech Republic";"BSDGSLM";0,0807698282108217;1;0,0152865655954567;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"19";"England";"BSDGHER";1;0,099668918707942;0;0,0218109569871489;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"20";"England";"BSDGSLM";0,099668918707942;1;0,0218109569871489;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"21";"Finland";"BSDGHER";1;0,0857872982378089;0;0,0153558771774059;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"22";"Finland";"BSDGSLM";0,0857872982378089;1;0,0153558771774059;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"23";"France";"BSDGHER";1;0,133616805630613;0;0,017715345247055;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"24";"France";"BSDGSLM";0,133616805630613;1;0,017715345247055;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"25";"Georgia";"BSDGHER";1;0,0700415608508453;0;0,0233496207915678;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"26";"Georgia";"BSDGSLM";0,0700415608508453;1;0,0233496207915678;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"27";"Hong Kong, SAR";"BSDGHER";1;0,0445725835588759;0;0,0230912811483651;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"28";"Hong Kong, SAR";"BSDGSLM";0,0445725835588759;1;0,0230912811483651;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"29";"Hungary";"BSDGHER";1;0,096144603744652;0;0,0211273978033904;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"30";"Hungary";"BSDGSLM";0,096144603744652;1;0,0211273978033904;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"31";"Iran, Islamic Republic of";"BSDGHER";1;0,0805816665978735;0;0,017966575520204;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"32";"Iran, Islamic Republic of";"BSDGSLM";0,0805816665978735;1;0,017966575520204;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"33";"Ireland";"BSDGHER";1;0,118622827273814;0;0,0282963189253911;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"34";"Ireland";"BSDGSLM";0,118622827273814;1;0,0282963189253911;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"35";"Israel";"BSDGHER";1;0,000389921085587107;0;0,022789401430162;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"36";"Israel";"BSDGSLM";0,000389921085587107;1;0,022789401430162;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"37";"Italy";"BSDGHER";1;0,151445537041387;0;0,0169126292762672;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"38";"Italy";"BSDGSLM";0,151445537041387;1;0,0169126292762672;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"39";"Ivory Coast";"BSDGHER";1;-0,0890160976773812;0;0,0362392079208266;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"40";"Ivory Coast";"BSDGSLM";-0,0890160976773812;1;0,0362392079208266;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"41";"Japan";"BSDGHER";1;0,110041335862936;0;0,0150134271892729;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"42";"Japan";"BSDGSLM";0,110041335862936;1;0,0150134271892729;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"43";"Jordan";"BSDGHER";1;0,0447722459942776;0;0,0176982944640441;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"44";"Jordan";"BSDGSLM";0,0447722459942776;1;0,0176982944640441;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"45";"Kazakhstan";"BSDGHER";1;0,116207851408902;0;0,0159513208163316;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"46";"Kazakhstan";"BSDGSLM";0,116207851408902;1;0,0159513208163316;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"47";"Korea, Republic of";"BSDGHER";1;0,136718546241923;0;0,0152203141012889;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"48";"Korea, Republic of";"BSDGSLM";0,136718546241923;1;0,0152203141012889;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"49";"Kuwait";"BSDGHER";1;0,0533457182434172;0;0,0181265796967863;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"50";"Kuwait";"BSDGSLM";0,0533457182434172;1;0,0181265796967863;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"51";"Lithuania";"BSDGHER";1;0,10698955881048;0;0,0147459453808116;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"52";"Lithuania";"BSDGSLM";0,10698955881048;1;0,0147459453808116;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"53";"Malaysia";"BSDGHER";1;0,0882557537256351;0;0,013699117087508;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"54";"Malaysia";"BSDGSLM";0,0882557537256351;1;0,013699117087508;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"55";"Malta";"BSDGHER";1;0,0616961320201498;0;0,0162502943166543;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"56";"Malta";"BSDGSLM";0,0616961320201498;1;0,0162502943166543;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"57";"Morocco";"BSDGHER";1;0,032601066051423;0;0,0157378808740947;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"58";"Morocco";"BSDGSLM";0,032601066051423;1;0,0157378808740947;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"59";"New Zealand";"BSDGHER";1;0,0764395644230282;0;0,0207565078595853;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"60";"New Zealand";"BSDGSLM";0,0764395644230282;1;0,0207565078595853;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"61";"Norway";"BSDGHER";1;0,0952721734037268;0;0,0155680391974785;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"62";"Norway";"BSDGSLM";0,0952721734037268;1;0,0155680391974785;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"63";"Oman";"BSDGHER";1;0,0425943243240216;0;0,0138445393444732;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"64";"Oman";"BSDGSLM";0,0425943243240216;1;0,0138445393444732;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"65";"Palestinian National Authority";"BSDGHER";1;0,0529726137548711;0;0,0151164450284696;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"66";"Palestinian National Authority";"BSDGSLM";0,0529726137548711;1;0,0151164450284696;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"67";"Portugal";"BSDGHER";1;0,175562934052218;0;0,0180797265537077;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"68";"Portugal";"BSDGSLM";0,175562934052218;1;0,0180797265537077;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"69";"Qatar";"BSDGHER";1;0,0528031896440304;0;0,0202935153038146;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"70";"Qatar";"BSDGSLM";0,0528031896440304;1;0,0202935153038146;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"71";"Romania";"BSDGHER";1;0,0494771657360755;0;0,019399013064448;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"72";"Romania";"BSDGSLM";0,0494771657360755;1;0,019399013064448;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"73";"Saudi Arabia";"BSDGHER";1;0,0526290902219341;0;0,0147243149957417;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"74";"Saudi Arabia";"BSDGSLM";0,0526290902219341;1;0,0147243149957417;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"75";"Singapore";"BSDGHER";1;0,145953868798158;0;0,0162416737282268;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"76";"Singapore";"BSDGSLM";0,145953868798158;1;0,0162416737282268;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"77";"South Africa";"BSDGHER";1;-0,0398908628420405;0;0,0146016474791408;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"78";"South Africa";"BSDGSLM";-0,0398908628420405;1;0,0146016474791408;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"79";"Sweden";"BSDGHER";1;0,0819644815872976;0;0,0168663278961583;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"80";"Sweden";"BSDGSLM";0,0819644815872976;1;0,0168663278961583;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"81";"Turkey";"BSDGHER";1;0,0880244690179534;0;0,0220648109553492;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"82";"Turkey";"BSDGSLM";0,0880244690179534;1;0,0220648109553492;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"83";"United Arab Emirates";"BSDGHER";1;0,053824293700588;0;0,00772058016258865;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"84";"United Arab Emirates";"BSDGSLM";0,053824293700588;1;0,00772058016258865;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"85";"United Arab Emirates (Abu Dhabi)";"BSDGHER";1;0,0294266224493216;0;0,0122090295819717;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"86";"United Arab Emirates (Abu Dhabi)";"BSDGSLM";0,0294266224493216;1;0,0122090295819717;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"87";"United Arab Emirates (Dubai)";"BSDGHER";1;0,0691679835901594;0;0,0159785528764649;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"88";"United Arab Emirates (Dubai)";"BSDGSLM";0,0691679835901594;1;0,0159785528764649;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"89";"United Arab Emirates (Sharjah)";"BSDGHER";1;0,104890723484001;0;0,0196518447001522;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"90";"United Arab Emirates (Sharjah)";"BSDGSLM";0,104890723484001;1;0,0196518447001522;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"91";"United States";"BSDGHER";1;0,0998068930868215;0;0,0194088113371977;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"92";"United States";"BSDGSLM";0,0998068930868215;1;0,0194088113371977;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"93";"Uzbekistan";"BSDGHER";1;0,0496548329544054;0;0,0200786590271174;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"94";"Uzbekistan";"BSDGSLM";0,0496548329544054;1;0,0200786590271174;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"95";"Table Average";"BSDGHER";1;0,0748057773323642;0;0,00268682940802975;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"96";"Table Average";"BSDGSLM";0,0748057773323642;1;0,00268682940802975;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
