"";"IDCNTRY";"Variable";"RHOMELIT";"RHISCED";"RHOMELIT.se";"RHISCED.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"11";"Colombia";"RHOMELIT";1;0,365249850505808;0;0,0191880999236839;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"12";"Colombia";"RHISCED";0,365249850505808;1;0,0191880999236839;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"13";"Cyprus";"RHOMELIT";1;0,230273374426574;0;0,0201111755828414;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"14";"Cyprus";"RHISCED";0,230273374426574;1;0,0201111755828414;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"15";"Czech Republic";"RHOMELIT";1;0,26869377243141;0;0,0161968229095429;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"16";"Czech Republic";"RHISCED";0,26869377243141;1;0,0161968229095429;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"17";"Denmark";"RHOMELIT";1;0,316038927075647;0;0,0187957876565717;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"18";"Denmark";"RHISCED";0,316038927075647;1;0,0187957876565717;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"19";"Dominican Republic";"RHOMELIT";1;0,286152350263901;0;0,0181408495872293;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"20";"Dominican Republic";"RHISCED";0,286152350263901;1;0,0181408495872293;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"21";"England";"RHOMELIT";1;0,308164519952523;0;0,0205780950772582;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"22";"England";"RHISCED";0,308164519952523;1;0,0205780950772582;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"23";"Estonia";"RHOMELIT";1;0,236337893596505;0;0,0233144706444203;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"24";"Estonia";"RHISCED";0,236337893596505;1;0,0233144706444203;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"25";"Finland";"RHOMELIT";1;0,298438440040243;0;0,020145326106414;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"26";"Finland";"RHISCED";0,298438440040243;1;0,020145326106414;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"27";"Greece";"RHOMELIT";1;0,402650988257789;0;0,0165507325617565;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"28";"Greece";"RHISCED";0,402650988257789;1;0,0165507325617565;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"29";"Guatemala";"RHOMELIT";1;0,364816582189865;0;0,0196066199781906;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"30";"Guatemala";"RHISCED";0,364816582189865;1;0,0196066199781906;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"31";"Hong Kong, SAR";"RHOMELIT";1;0,398092731458024;0;0,0250293432361391;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"32";"Hong Kong, SAR";"RHISCED";0,398092731458024;1;0,0250293432361391;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"33";"Indonesia";"RHOMELIT";1;0,184323712028357;0;0,0182252778073133;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"34";"Indonesia";"RHISCED";0,184323712028357;1;0,0182252778073133;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"35";"Ireland";"RHOMELIT";1;0,350036621495866;0;0,0179242589185653;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"36";"Ireland";"RHISCED";0,350036621495866;1;0,0179242589185653;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"37";"Italy";"RHOMELIT";1;0,400349762545569;0;0,0187097278038974;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"38";"Italy";"RHISCED";0,400349762545569;1;0,0187097278038974;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"39";"Korea, Republic of";"RHOMELIT";1;0,324884114186406;0;0,0147974080650626;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"40";"Korea, Republic of";"RHISCED";0,324884114186406;1;0,0147974080650626;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"41";"Latvia";"RHOMELIT";1;0,280702337019196;0;0,0185023198954229;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"42";"Latvia";"RHISCED";0,280702337019196;1;0,0185023198954229;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"43";"Liechtenstein";"RHOMELIT";1;0,41526819385452;0;0,0440952741060212;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"44";"Liechtenstein";"RHISCED";0,41526819385452;1;0,0440952741060212;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"45";"Lithuania";"RHOMELIT";1;0,411423952682374;0;0,013388561911399;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"46";"Lithuania";"RHISCED";0,411423952682374;1;0,013388561911399;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"47";"Luxembourg";"RHOMELIT";1;0,492063357078392;0;0,0138217785965724;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"48";"Luxembourg";"RHISCED";0,492063357078392;1;0,0138217785965724;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"49";"Malta";"RHOMELIT";1;0,303726325754735;0;0,0251601793592004;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"50";"Malta";"RHISCED";0,303726325754735;1;0,0251601793592004;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"51";"Mexico";"RHOMELIT";1;0,32265233957186;0;0,0213997201461907;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"52";"Mexico";"RHISCED";0,32265233957186;1;0,0213997201461907;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"53";"Netherlands";"RHOMELIT";1;0,311863593144884;0;0,0314792419655798;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"54";"Netherlands";"RHISCED";0,311863593144884;1;0,0314792419655798;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"55";"New Zealand";"RHOMELIT";1;0,267787942694394;0;0,0211128313142438;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"56";"New Zealand";"RHISCED";0,267787942694394;1;0,0211128313142438;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"57";"Norway";"RHOMELIT";1;0,288331880155095;0;0,0190180801553741;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"58";"Norway";"RHISCED";0,288331880155095;1;0,0190180801553741;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"59";"Paraguay";"RHOMELIT";1;0,457245254613671;0;0,019896267979676;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"60";"Paraguay";"RHISCED";0,457245254613671;1;0,019896267979676;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"61";"Poland";"RHOMELIT";1;0,411344771289704;0;0,0208704757379973;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"62";"Poland";"RHISCED";0,411344771289704;1;0,0208704757379973;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"63";"Russian Federation";"RHOMELIT";1;0,293675138091222;0;0,0206639556667219;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"64";"Russian Federation";"RHISCED";0,293675138091222;1;0,0206639556667219;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"65";"Slovak Republic";"RHOMELIT";1;0,32980015925088;0;0,0240792808024918;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"66";"Slovak Republic";"RHISCED";0,32980015925088;1;0,0240792808024918;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"67";"Slovenia";"RHOMELIT";1;0,313335227149025;0;0,0226652584197005;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"68";"Slovenia";"RHISCED";0,313335227149025;1;0,0226652584197005;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"69";"Spain";"RHOMELIT";1;0,420087826770478;0;0,0181186003572876;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"70";"Spain";"RHISCED";0,420087826770478;1;0,0181186003572876;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"71";"Sweden";"RHOMELIT";1;0,287421497383511;0;0,0179503167371988;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"72";"Sweden";"RHISCED";0,287421497383511;1;0,0179503167371988;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"73";"Switzerland";"RHOMELIT";1;0,401702031036347;0;0,0210397380271721;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"74";"Switzerland";"RHISCED";0,401702031036347;1;0,0210397380271721;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"75";"Thailand";"RHOMELIT";1;0,276858497837782;0;0,0185744391877897;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"76";"Thailand";"RHISCED";0,276858497837782;1;0,0185744391877897;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"77";"Table Average";"RHOMELIT";1;0,338162954512213;0;0,00341004010653603;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"78";"Table Average";"RHISCED";0,338162954512213;1;0,00341004010653603;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
