"";"IDCNTRY";"Variable";"RASBGBOOK";"RASDMSCL";"RASBGBOOK.se";"RASDMSCL.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"18";"Hong Kong, SAR";"RASDMSCL";-0,102652953382169;1;0,0169356856011868;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"19";"Hungary";"RASBGBOOK";1;-0,154323675147739;0;0,0190825553164726;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"20";"Hungary";"RASDMSCL";-0,154323675147739;1;0,0190825553164726;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"21";"Iran, Islamic Republic of";"RASBGBOOK";1;-0,100921397059453;0;0,0258115171099321;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"22";"Iran, Islamic Republic of";"RASDMSCL";-0,100921397059453;1;0,0258115171099321;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"23";"Italy";"RASBGBOOK";1;-0,0808208348106461;0;0,0180787427766162;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"24";"Italy";"RASDMSCL";-0,0808208348106461;1;0,0180787427766162;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"25";"Japan";"RASBGBOOK";1;-0,145843431410298;0;0,0153771172407377;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"26";"Japan";"RASDMSCL";-0,145843431410298;1;0,0153771172407377;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"27";"Latvia";"RASBGBOOK";1;-0,0446795804040722;0;0,0223684038966199;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"28";"Latvia";"RASDMSCL";-0,0446795804040722;1;0,0223684038966199;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"29";"Lithuania";"RASBGBOOK";1;-0,161967406865389;0;0,0171728199618682;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"30";"Lithuania";"RASDMSCL";-0,161967406865389;1;0,0171728199618682;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"31";"Moldova";"RASBGBOOK";1;-0,190737183341783;0;0,0233881593366733;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"32";"Moldova";"RASDMSCL";-0,190737183341783;1;0,0233881593366733;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"33";"Morocco";"RASBGBOOK";1;-0,11162026990745;0;0,0264684807488258;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"34";"Morocco";"RASDMSCL";-0,11162026990745;1;0,0264684807488258;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"35";"Netherlands";"RASBGBOOK";1;-0,120793992623305;0;0,0176278783084583;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"36";"Netherlands";"RASDMSCL";-0,120793992623305;1;0,0176278783084583;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"37";"New Zealand";"RASBGBOOK";1;-0,110675597189715;0;0,0199308586187491;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"38";"New Zealand";"RASDMSCL";-0,110675597189715;1;0,0199308586187491;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"39";"Norway";"RASBGBOOK";1;-0,0757432601540727;0;0,0182366749316503;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"40";"Norway";"RASDMSCL";-0,0757432601540727;1;0,0182366749316503;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"41";"Philippines";"RASBGBOOK";1;-0,0785813520998386;0;0,0205376859892435;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"42";"Philippines";"RASDMSCL";-0,0785813520998386;1;0,0205376859892435;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"43";"Russian Federation";"RASBGBOOK";1;-0,112322153821229;0;0,0194340784705286;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"44";"Russian Federation";"RASDMSCL";-0,112322153821229;1;0,0194340784705286;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"45";"Scotland";"RASBGBOOK";1;-0,0532103372423396;0;0,0187221803532645;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"46";"Scotland";"RASDMSCL";-0,0532103372423396;1;0,0187221803532645;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"47";"Singapore";"RASBGBOOK";1;-0,175461724618053;0;0,0170897338867667;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"48";"Singapore";"RASDMSCL";-0,175461724618053;1;0,0170897338867667;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"49";"Slovenia";"RASBGBOOK";1;-0,0730489892933507;0;0,0233244361753114;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"50";"Slovenia";"RASDMSCL";-0,0730489892933507;1;0,0233244361753114;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"51";"Tunisia";"RASBGBOOK";1;-0,163446608146878;0;0,0265655702943369;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"52";"Tunisia";"RASDMSCL";-0,163446608146878;1;0,0265655702943369;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"53";"United States";"RASBGBOOK";1;-0,12382177622318;0;0,0119414330234257;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"54";"United States";"RASDMSCL";-0,12382177622318;1;0,0119414330234257;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"55";"United States (Indiana)";"RASBGBOOK";1;-0,133120646065954;0;0,0291654682114704;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"56";"United States (Indiana)";"RASDMSCL";-0,133120646065954;1;0,0291654682114704;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"57";"Yemen";"RASBGBOOK";1;-0,0174817181764223;0;0,0280393099936607;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"58";"Yemen";"RASDMSCL";-0,0174817181764223;1;0,0280393099936607;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"59";"Table Average";"RASBGBOOK";1;-0,108394977072623;0;0,00385362055143704;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"60";"Table Average";"RASDMSCL";-0,108394977072623;1;0,00385362055143704;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
