"";"IDCNTRY";"Variable";"ASBGBOOK";"ASDMSCL";"ASBGBOOK.se";"ASDMSCL.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"12";"Chinese Taipei";"ASDMSCL";-0,146822510943768;1;0,0147325082458427;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"13";"Cyprus";"ASBGBOOK";1;-0,0900421935847626;0;0,015507252299883;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"14";"Cyprus";"ASDMSCL";-0,0900421935847626;1;0,015507252299883;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"15";"England";"ASBGBOOK";1;-0,0755282475078749;0;0,0211587884572267;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"16";"England";"ASDMSCL";-0,0755282475078749;1;0,0211587884572267;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"17";"Hong Kong, SAR";"ASBGBOOK";1;-0,100137864956982;0;0,017127899791931;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"18";"Hong Kong, SAR";"ASDMSCL";-0,100137864956982;1;0,017127899791931;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"19";"Hungary";"ASBGBOOK";1;-0,148590657392784;0;0,0198140048942209;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"20";"Hungary";"ASDMSCL";-0,148590657392784;1;0,0198140048942209;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"21";"Iran, Islamic Republic of";"ASBGBOOK";1;-0,0863562656813986;0;0,0242945111352886;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"22";"Iran, Islamic Republic of";"ASDMSCL";-0,0863562656813986;1;0,0242945111352886;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"23";"Italy";"ASBGBOOK";1;-0,0697291977275699;0;0,0172933545470125;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"24";"Italy";"ASDMSCL";-0,0697291977275699;1;0,0172933545470125;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"25";"Japan";"ASBGBOOK";1;-0,140323192936938;0;0,0151191588045942;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"26";"Japan";"ASDMSCL";-0,140323192936938;1;0,0151191588045942;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"27";"Latvia";"ASBGBOOK";1;-0,0447263363165514;0;0,0226306116323557;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"28";"Latvia";"ASDMSCL";-0,0447263363165514;1;0,0226306116323557;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"29";"Lithuania";"ASBGBOOK";1;-0,151774928537815;0;0,0176004191848203;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"30";"Lithuania";"ASDMSCL";-0,151774928537815;1;0,0176004191848203;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"31";"Moldova";"ASBGBOOK";1;-0,1661014464024;0;0,0232974299527626;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"32";"Moldova";"ASDMSCL";-0,1661014464024;1;0,0232974299527626;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"33";"Morocco";"ASBGBOOK";1;-0,100437023784787;0;0,0242847276463902;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"34";"Morocco";"ASDMSCL";-0,100437023784787;1;0,0242847276463902;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"35";"Netherlands";"ASBGBOOK";1;-0,108097095778049;0;0,0178834320437071;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"36";"Netherlands";"ASDMSCL";-0,108097095778049;1;0,0178834320437071;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"37";"New Zealand";"ASBGBOOK";1;-0,10261255966696;0;0,0198583264421478;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"38";"New Zealand";"ASDMSCL";-0,10261255966696;1;0,0198583264421478;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"39";"Norway";"ASBGBOOK";1;-0,0682900302485112;0;0,0183224005664224;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"40";"Norway";"ASDMSCL";-0,0682900302485112;1;0,0183224005664224;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"41";"Philippines";"ASBGBOOK";1;-0,0627773529442183;0;0,0198912318537654;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"42";"Philippines";"ASDMSCL";-0,0627773529442183;1;0,0198912318537654;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"43";"Russian Federation";"ASBGBOOK";1;-0,107460281802761;0;0,0185706570874769;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"44";"Russian Federation";"ASDMSCL";-0,107460281802761;1;0,0185706570874769;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"45";"Scotland";"ASBGBOOK";1;-0,0412141723207794;0;0,019378108843013;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"46";"Scotland";"ASDMSCL";-0,0412141723207794;1;0,019378108843013;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"47";"Singapore";"ASBGBOOK";1;-0,167052566393779;0;0,0169891243093832;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"48";"Singapore";"ASDMSCL";-0,167052566393779;1;0,0169891243093832;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"49";"Slovenia";"ASBGBOOK";1;-0,0649847722376615;0;0,0254159346882627;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"50";"Slovenia";"ASDMSCL";-0,0649847722376615;1;0,0254159346882627;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"51";"Tunisia";"ASBGBOOK";1;-0,149723043891174;0;0,0258779461464045;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"52";"Tunisia";"ASDMSCL";-0,149723043891174;1;0,0258779461464045;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"53";"United States";"ASBGBOOK";1;-0,11325785895258;0;0,011249752619656;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"54";"United States";"ASDMSCL";-0,11325785895258;1;0,011249752619656;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"55";"United States (Indiana)";"ASBGBOOK";1;-0,124119899282072;0;0,0294184063218207;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"56";"United States (Indiana)";"ASDMSCL";-0,124119899282072;1;0,0294184063218207;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"57";"Yemen";"ASBGBOOK";1;-0,0140646555737389;0;0,027622350212904;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"58";"Yemen";"ASDMSCL";-0,0140646555737389;1;0,027622350212904;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"59";"Table Average";"ASBGBOOK";1;-0,0995514859029536;0;0,00385463909790272;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"60";"Table Average";"ASDMSCL";-0,0995514859029536;1;0,00385463909790272;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
