"";"IDCNTRY";"Variable";"OPDISC";"PV_CIV";"OPDISC.se";"PV_CIV.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"15";"Czech Republic";"OPDISC";1;0,177675161697989;0;0,0274818973034632;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"16";"Czech Republic";"PV_CIV";0,177675161697989;1;0,0274818973034632;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"17";"Denmark";"OPDISC";1;0,257331132331181;0;0,0219091955826774;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"18";"Denmark";"PV_CIV";0,257331132331181;1;0,0219091955826774;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"19";"Dominican Republic";"OPDISC";1;0,291027422831429;0;0,0236190670738612;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"20";"Dominican Republic";"PV_CIV";0,291027422831429;1;0,0236190670738612;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"21";"England";"OPDISC";1;0,320476578010348;0;0,022243555807295;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"22";"England";"PV_CIV";0,320476578010348;1;0,022243555807295;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"23";"Estonia";"OPDISC";1;0,182324692471038;0;0,0276358456019791;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"24";"Estonia";"PV_CIV";0,182324692471038;1;0,0276358456019791;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"25";"Finland";"OPDISC";1;0,117926106813252;0;0,0202642668321894;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"26";"Finland";"PV_CIV";0,117926106813252;1;0,0202642668321894;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"27";"Greece";"OPDISC";1;0,31317929648329;0;0,017418113717347;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"28";"Greece";"PV_CIV";0,31317929648329;1;0,017418113717347;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"29";"Guatemala";"OPDISC";1;0,242521614871115;0;0,0254202298295545;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"30";"Guatemala";"PV_CIV";0,242521614871115;1;0,0254202298295545;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"31";"Hong Kong, SAR";"OPDISC";1;0,251394630403355;0;0,0260557464847332;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"32";"Hong Kong, SAR";"PV_CIV";0,251394630403355;1;0,0260557464847332;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"33";"Indonesia";"OPDISC";1;0,26306001167149;0;0,0208996552906687;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"34";"Indonesia";"PV_CIV";0,26306001167149;1;0,0208996552906687;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"35";"Ireland";"OPDISC";1;0,273177634394243;0;0,0181703243319389;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"36";"Ireland";"PV_CIV";0,273177634394243;1;0,0181703243319389;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"37";"Italy";"OPDISC";1;0,24069140171062;0;0,0182470040334247;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"38";"Italy";"PV_CIV";0,24069140171062;1;0,0182470040334247;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"39";"Korea, Republic of";"OPDISC";1;0,0562297621709907;0;0,0173444621303508;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"40";"Korea, Republic of";"PV_CIV";0,0562297621709907;1;0,0173444621303508;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"41";"Latvia";"OPDISC";1;0,196867344676131;0;0,0246033527445315;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"42";"Latvia";"PV_CIV";0,196867344676131;1;0,0246033527445315;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"43";"Liechtenstein";"OPDISC";1;0,0439420796446972;0;0,0513355681019013;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"44";"Liechtenstein";"PV_CIV";0,0439420796446972;1;0,0513355681019013;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"45";"Lithuania";"OPDISC";1;0,114576298026173;0;0,0232981693310113;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"46";"Lithuania";"PV_CIV";0,114576298026173;1;0,0232981693310113;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"47";"Luxembourg";"OPDISC";1;0,146820897799415;0;0,0198651136586766;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"48";"Luxembourg";"PV_CIV";0,146820897799415;1;0,0198651136586766;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"49";"Malta";"OPDISC";1;0,26891840560942;0;0,0321640250110831;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"50";"Malta";"PV_CIV";0,26891840560942;1;0,0321640250110831;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"51";"Mexico";"OPDISC";1;0,207480837688658;0;0,0174554509450451;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"52";"Mexico";"PV_CIV";0,207480837688658;1;0,0174554509450451;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"53";"Netherlands";"OPDISC";1;0,159127225173176;0;0,0504282836372746;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"54";"Netherlands";"PV_CIV";0,159127225173176;1;0,0504282836372746;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"55";"New Zealand";"OPDISC";1;0,275424869159923;0;0,022267495115106;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"56";"New Zealand";"PV_CIV";0,275424869159923;1;0,022267495115106;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"57";"Norway";"OPDISC";1;0,28445451462456;0;0,0288504191964545;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"58";"Norway";"PV_CIV";0,28445451462456;1;0,0288504191964545;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"59";"Paraguay";"OPDISC";1;0,279834955748875;0;0,0250491726146248;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"60";"Paraguay";"PV_CIV";0,279834955748875;1;0,0250491726146248;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"61";"Poland";"OPDISC";1;0,208879749852114;0;0,0216918775618475;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"62";"Poland";"PV_CIV";0,208879749852114;1;0,0216918775618475;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"63";"Russian Federation";"OPDISC";1;0,299432167219947;0;0,0275930147791578;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"64";"Russian Federation";"PV_CIV";0,299432167219947;1;0,0275930147791578;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"65";"Slovak Republic";"OPDISC";1;0,204144665330663;0;0,02112370508047;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"66";"Slovak Republic";"PV_CIV";0,204144665330663;1;0,02112370508047;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"67";"Slovenia";"OPDISC";1;0,232418692836398;0;0,0207542572329475;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"68";"Slovenia";"PV_CIV";0,232418692836398;1;0,0207542572329475;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"69";"Spain";"OPDISC";1;0,166448473584533;0;0,0220462500288146;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"70";"Spain";"PV_CIV";0,166448473584533;1;0,0220462500288146;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"71";"Sweden";"OPDISC";1;0,269354669859599;0;0,0196750441248475;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"72";"Sweden";"PV_CIV";0,269354669859599;1;0,0196750441248475;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"73";"Switzerland";"OPDISC";1;0,0904468693677626;0;0,0263729281883484;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"74";"Switzerland";"PV_CIV";0,0904468693677626;1;0,0263729281883484;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"75";"Thailand";"OPDISC";1;0,346220000282569;0;0,019039414981107;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"76";"Thailand";"PV_CIV";0,346220000282569;1;0,019039414981107;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"77";"Table Average";"OPDISC";1;0,220041348924913;0;0,00408374069339246;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"78";"Table Average";"PV_CIV";0,220041348924913;1;0,00408374069339246;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
